# bjd	phase	raw_flux	raw_err	corr_flux	corr_err	dtr_flux	dtr_err
55062.32811	0.35336317	0.999936	0.000314	1.018348	0.00033	0.999714	0.000314
55062.32879	0.35337975	1.000191	0.000314	1.018612	0.00033	0.999969	0.000314
55062.32948	0.35339633	1.000428	0.000314	1.018857	0.00033	1.000206	0.000314
55062.33016	0.35341291	1.000975	0.000314	1.019425	0.00033	1.000753	0.000314
55062.33084	0.35342949	1.000497	0.000314	1.018927	0.00033	1.000275	0.000314
55062.33152	0.35344607	1.000006	0.000314	1.018417	0.00033	0.999784	0.000314
55062.3322	0.35346266	0.999986	0.000314	1.018394	0.00033	0.999764	0.000314
55062.33288	0.35347924	0.99937	0.000314	1.017754	0.00033	0.999148	0.000314
55062.33356	0.35349582	1.000025	0.000314	1.018433	0.00033	0.999803	0.000314
55062.33424	0.3535124	1.000341	0.000314	1.018761	0.00033	1.000119	0.000314
55062.33492	0.35352898	1.00038	0.000314	1.0188	0.00033	1.000158	0.000314
55062.33561	0.35354556	1.000436	0.000314	1.018857	0.00033	1.000214	0.000314
55062.33629	0.35356214	1.000303	0.000314	1.018718	0.00033	1.000081	0.000314
55062.33697	0.35357873	0.99993	0.000314	1.018329	0.00033	0.999708	0.000314
55062.33765	0.35359531	1.000086	0.000314	1.01849	0.00033	0.999864	0.000314
55062.33833	0.35361189	1.00047	0.000314	1.018888	0.00033	1.000248	0.000314
55062.33901	0.35362847	0.999923	0.000314	1.018318	0.00033	0.999702	0.000314
55062.33969	0.35364505	1.000186	0.000314	1.018591	0.00033	0.999964	0.000314
55062.34037	0.35366163	1.000211	0.000315	1.018615	0.00033	0.999989	0.000314
55062.34105	0.35367821	1.000395	0.000315	1.018805	0.000331	1.000173	0.000315
55062.34174	0.35369479	1.000412	0.000315	1.018822	0.000331	1.00019	0.000315
55062.34242	0.35371137	1.001228	0.000315	1.019669	0.000331	1.001006	0.000315
55062.3431	0.35372796	1.000305	0.000315	1.018709	0.000331	1.000083	0.000315
55062.34378	0.35374454	1.000462	0.000315	1.018871	0.000331	1.00024	0.000315
55062.34446	0.35376112	0.999939	0.000315	1.018327	0.000331	0.999718	0.000315
55062.34514	0.3537777	0.999817	0.000315	1.018199	0.000331	0.999596	0.000315
55062.34582	0.35379428	1.000214	0.000315	1.018611	0.000331	0.999993	0.000315
55062.3465	0.35381086	1.000032	0.000315	1.018422	0.000331	0.999811	0.000315
55062.34718	0.35382744	1.000927	0.000316	1.019351	0.000332	1.000705	0.000316
55062.34787	0.35384402	1.00077	0.000316	1.019187	0.000332	1.000549	0.000316
55062.34855	0.35386061	1.000318	0.000316	1.018717	0.000332	1.000097	0.000316
55062.34923	0.35387719	1.000098	0.000316	1.018488	0.000332	0.999877	0.000316
55062.34991	0.35389377	0.999894	0.000316	1.018277	0.000332	0.999673	0.000316
55062.35059	0.35391035	1.000144	0.000316	1.018537	0.000332	0.999923	0.000316
55062.35127	0.35392693	1.000404	0.000316	1.018807	0.000332	1.000183	0.000316
55062.35195	0.35394351	1.000677	0.000316	1.019091	0.000332	1.000456	0.000316
55062.35263	0.35396009	1.000269	0.000316	1.018667	0.000332	1.000048	0.000316
55062.35331	0.35397667	0.999803	0.000317	1.018184	0.000333	0.999582	0.000316
55062.354	0.35399326	0.999858	0.000316	1.018242	0.000332	0.999637	0.000316
55062.35468	0.35400984	0.999971	0.000316	1.01836	0.000332	0.99975	0.000316
55062.35536	0.35402642	1.000096	0.000316	1.01849	0.000332	0.999875	0.000316
55062.35604	0.354043	1.000886	0.000316	1.019312	0.000332	1.000665	0.000316
55062.35672	0.35405958	0.999943	0.000316	1.018333	0.000332	0.999722	0.000316
